series_id,series_name,former_names,category,governing_body,first_year,last_year,status,home_venue,country,region,disciplines,significance,sources,confidence,source_file
kaunertal-opening,Kaunertal Opening,KTO,legacy-contest,independent,1986,,active,"Snowpark Kaunertal, Kaunertaler Gletscher",Austria,europe,jib | rail-jam | other,"Glacier season-opening snowboard gathering in the Tirol, combining a rider contest with a brand testival, mini-ramp and jib sessions. Onboard and World Snowboard Guide both call the 2015 edition the 30th and Whitelines calls 2022 the 37th year, which places the first edition in 1986. The 2015 edition revived the mini-ramp after a 15-year absence and ran a Legends Invitational session.",https://onboardmag.com/news/snowboarding-events/30th-kaunertal-opening-event-recap.html | https://www.worldsnowboardguide.com/news/30th-kaunertal-opening-2015.html | https://whitelines.com/snowboard-culture/snowboard-events/kto-2022-kaunertal-opening-is-back.html,likely,intl-other
king-of-the-mountain-ski-cooper,King of the Mountain (Ski Cooper),,legacy-contest,independent,1981,,unconfirmed,Ski Cooper,USA,north-america,slalom | other,"Widely cited as the first modern snowboard contest, held in April 1981 at Ski Cooper, Leadville, Colorado, at a time when almost no resort would host snowboarders. Tom Sims and Jake Burton Carpenter both attended.",https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s | https://en.wikipedia.org/wiki/Snowboarding,likely,legacy-80s-90s
laax-open,LAAX OPEN,,major-contest,FIS,2016,,active,LAAX,Switzerland,europe,halfpipe | slopestyle,"Direct successor to the Burton European Open at the same resort. Launched for winter 2016 after Burton stepped back from the BEO, keeping the open-entry format, the core organising team and the Laax superpipe. It joined the FIS Snowboard World Cup in its second year and now also runs a freeski slopestyle World Cup alongside the snowboard events.",https://onboardmag.com/news/european-news/laax-set-to-host-laax-open-2016.html | https://www.burton.com/blogs/the-burton-blog/10-years-laax-open/ | https://laaxopen.com/en/hall-of-fame/ | https://laaxopen.com/en/about-laax-open/,verified,burton-opens
mt-baker-last-stand-rail-jam,Last Stand Rail Jam,,grassroots-contest,independent,,,active,Mt. Baker Ski Area,USA,north-america,rail-jam,"End-of-season freestyle contest at Mt. Baker Ski Area, listed by the ski area as open to all skill levels. Scheduled for Saturday, April 3, 2027 in the 2026-27 season.",https://www.mtbaker.us/events/,likely,us-grassroots
mt-baker-legendary-banked-slalom,Mt. Baker Legendary Banked Slalom,Sims Open | Mt. Baker Banked Slalom,legacy-contest,independent,1985,,active,Mt. Baker Ski Area,USA,north-america,banked-slalom,"The oldest continuously run snowboard contest in the United States, first held in 1985 on the natural gully at Mt. Baker known as the Natural Halfpipe. Organised by Bob Barci, Tom Sims, Jeff Fulton and the Mt. Baker Hard Core riders after they approached ski area manager Duncan Howat in 1984. Winners receive a duct-tape trophy and an embroidered Carhartt jacket rather than prize money; the event turned down big-money sponsorship and television in the early 1990s and returned to a grassroots format. Entry is capped (400 racers in 2025) and it is widely described as the predecessor of boardercross.","https://en.wikipedia.org/wiki/Mt._Baker_Legendary_Banked_Slalom | https://www.mountbakerexperience.com/stories/30-years-of-the-legendary-banked-slalom,339 | https://unofficialnetworks.com/2024/01/30/legendary-banked-slalom-history/ | https://lbs.mtbaker.us/results/honor-roll/ | http://www.cascadiadaily.com/2025/feb/04/mt-baker-ski-area-prepares-for-world-famous-snowboard-race/ | https://snowboarding8090.com/mt-baker-lbs/ | https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s | https://localfreshies.com/mt-baker-banked-slalom/",verified,us-grassroots + legacy-80s-90s
mt-baker-ravens-edge-dual-slalom,Raven's Edge Dual Slalom,,grassroots-contest,independent,,,active,Mt. Baker Ski Area,USA,north-america,dual-slalom,"Two-day ski and snowboard dual slalom at Mt. Baker Ski Area, open to all ages and abilities. Scheduled for April 10-11, 2027 in the 2026-27 season.",https://www.mtbaker.us/events/,likely,us-grassroots
mt-baker-timbrrr-best-trick,TIMBRRR! Best Trick Contest,,grassroots-contest,independent,,,active,Mt. Baker Ski Area,USA,north-america,jib,"Early-season best-trick contest run in Mt. Baker's wooden-feature zone, The Sticks. Scheduled for Saturday, December 12, 2026 in the 2026-27 season.",https://www.mtbaker.us/events/,likely,us-grassroots
mt-spokane-banked-slalom,Mt. Spokane Banked Slalom,,grassroots-contest,independent,,,active,Mt. Spokane Ski & Snowboard Park,USA,north-america,banked-slalom,"Banked slalom on a hand-built course at Mt. Spokane, Washington, run by the non-profit ski area. Two timed runs, best run counts; open to both snowboarders and skiers with Pro/Open and amateur age divisions. The 2025 edition was held March 8.",https://www.mtspokane.com/bankedslalom,likely,us-grassroots
nate-chute-banked-slalom,Nate Chute Banked Slalom,,grassroots-contest,independent,,,active,Whitefish Mountain Resort,USA,north-america,banked-slalom,"Banked slalom at Whitefish Mountain Resort, Montana, associated with the Nate Chute Foundation. Local Freshies calls it the 'second longest running Banked Slalom in the US'; the same page also calls the Neil Edgeworth Memorial at Big White the 'second oldest', so the claim needs checking. The 2026 edition is listed for March 14-15.",https://localfreshies.com/banked-slalom-event-showcase/,likely,us-grassroots
national-collegiate-snowboarding-championships,National Collegiate Snowboarding Championships,,national-championship,,1989,,unconfirmed,,USA,north-america,,"First collegiate snowboard championship in the United States, held at Stratton Mountain, Vermont in December 1989.",https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s,likely,legacy-80s-90s
national-snurfing-championships,National Snurfing Championships,World Snurfing Championship | National Snurf Championship | National Snurfer Championship | National Snow Surfing Championship,legacy-contest,,1968,1984,defunct,,USA,north-america,downhill | slalom | other,"The Snurfer contests at Muskegon, Michigan are the direct ancestor of snowboard competition. The Michigan Snowboard Museum timeline dates the first World Snurfing Championship to 19 February 1968 at Blockhouse Hill in Muskegon State Park. The series ran at Blockhouse Hill through 1979 and then at Pando, and it is the event Jake Burton Carpenter entered in 1979 with a bindinged board, which prompted a separate open division.",https://www.michigansnowboardmuseum.com/michigan-snowboarding-history-timeline.html | https://en.wikipedia.org/wiki/Snowboarding,likely,legacy-80s-90s
neil-edgeworth-memorial-banked-slalom,Neil Edgeworth Memorial Banked Slalom,Inland Snowboard Big White Banked Slalom,grassroots-contest,independent,1987,,active,Big White Ski Resort,Canada,north-america,banked-slalom,"Big White's banked slalom, first run in the 1987/88 season as the Inland Snowboard Big White Banked Slalom and renamed after local rider Neil Edgeworth, who was killed by an avalanche in France in 1997. Run in a natural gully beside the Ridge Rocket chair and later at TELUS Park, with pro, amateur (age groups from 11-and-under to 60+) and para divisions on the same course. Now organised with BC Snowboard; the organisers describe it as a gathering rather than a competition. 320 entrants in 2017, 255 in 2025.",https://www.bigwhite.com/explore-big-white/blog/mountain-news/nebs-26yrs-tradition | https://www.bigwhite.com/explore-big-white/blog/telus-park/big-white-hosts-20th-annual-neil-edgeworth-banked-slalom | https://www.bigwhite.com/explore-big-white/blog/telus-park/25-years-nebs | https://www.bcsnowboard.com/wp-content/uploads/2026-27th-Annual-NEBS-Event-Information.March-20-22-2026.pdf,verified,canada
nescafe-champs-leysin,NESCAFE Champs,Nescafe Open Champs | Champs Open Leysin | Nokia Champs | The Champs | Nescafé Champs,legacy-contest,independent,1991,,unconfirmed,Leysin,Switzerland,europe,halfpipe | slopestyle,"Described by the World Snowboard Federation and World Snowboard Guide as the oldest snowboard event in Europe. First held in 1991 at Leysin; Nescafe was title sponsor 1994-2006 and returned in 2010. The contest spent three seasons in Valais before returning to Leysin in 2010 and reached its 20th edition in 2011. Later editions ran a hybrid slopestyle course combining a halfpipe with kickers, rails and a wallride.",https://www.worldsnowboardfederation.org/nescafe-open-champs-in-leysin-2010-the-oldest-european-snowboard-event/ | https://www.worldsnowboardguide.com/news/cilka-sadar---lucien-koch-win-2011-champ-in-leysin.html | https://snowboarding.transworld.net/news/get-ready-for-the-nescafe-champs-in-leysin-switzerland-march-6-10/,verified,intl-other + merged champs-leysin
nippon-open,Nissan X-Trail Nippon Open,,tour-stop,brand-run,,,unconfirmed,ALTS Bandai,Japan,japan,halfpipe | slopestyle,"The Japanese stop of the Burton Global Open Series, held at ALTS Bandai in Fukushima Prefecture and reported at the time as one of Japan's most popular snowboard events, drawing over 40,000 spectators. Winners took 8,000 points toward the Burton Global Open Series championship.",https://whitelines.com/archive/news/japan-beckons-riders-for-5-star-nissan-x-trail-nippon-open.html | https://whitelines.com/archive/news/mikkel-bang-jenny-jones-win-nissan-x-trail-nippon-open-parkstyle-finals.html | https://whitelines.com/archive/news/burton-global-open-series-08-09.html,likely,burton-opens
niseko-moiwa-banked-slalom,Niseko Moiwa Banked Slalom,,grassroots-contest,independent,,,active,Niseko Moiwa Ski Resort,Japan,japan,banked-slalom,"Late-March banked slalom at Niseko Moiwa in Hokkaido, run across five divisions including snowskate and ski classes and a snowboard masters category for riders 43 and over.",https://niseko-moiwa.jp/ja/news/2025/03/10/532/,verified,intl-other
north-alps-banked-slalom,North Alps Banked Slalom,,tour-series,independent,,,active,,Japan,japan,banked-slalom,"Described as Japan's only banked slalom series: three races in the Hakuba valley, Nagano, at Hakuba Iwatake, Tsugaike Mountain Resort and Hakuba Happo-one. The Tsugaike round (BANKED SLALOM TGK) is the second race and by 2026 had grown to two days with 260 riders a day and ski, snowboard, snowbike and parent-child divisions.",https://steep.jp/en/custom/tsugaike-banked-slalom/,likely,intl-other
north-american-snowboarding-championships,North American Snowboarding Championships,,legacy-contest,,,,unconfirmed,,Canada,north-america,,An early continental championship run in western Canada in the mid-to-late 1980s. TransWorld SNOWboarding's first issue (fall 1987) covered a North American Championships at Banff; a snowboarding history project places a 1985 North American Championships at Calgary. Whether these are the same series is not established.,https://www.snowboarder.com/transworld-snowboarding-archive/three-decades-transworld-snowboarding-part-1-1987-1996 | https://snowboarding8090.com/history/,likely,legacy-80s-90s
norwegian-snowboard-championships,Norwegian Snowboard Championships,NM i snowboard,national-championship,,,,unconfirmed,,Norway,europe,halfpipe | slopestyle | big-air | boardercross,"Norway's national snowboard titles, contested across several venues in a season and, in the TTR era, carrying 3-Star ranking status. The winner of the combined title receives the King's Cup (Kongepokal). The 2010/11 Norwegian season carried 15 TTR/WSF 1-3 Star events in big air, slopestyle and halfpipe.",https://www.worldsnowboardfederation.org/the-3star-ttr-norwegian-championships/,likely,intl-other
nz-snowboard-nationals,New Zealand Snowboard Nationals,,national-championship,Snow Sports NZ,,,unconfirmed,,New Zealand,oceania,halfpipe | slopestyle | big-air | boardercross | other,"New Zealand's national snowboard titles, run by Snow Sports NZ as the culmination of a season-long National Park and Pipe series of sanctioned events. Cardrona Alpine Resort hosts the Cardrona NZ Freeski and Snowboard Junior Nationals annually and is naming sponsor of the national Park and Pipe team.",https://www.sporty.co.nz/snowsportsnz/sports/snowboarding,likely,intl-other
oakley-girl-sessions-ruka,Oakley Girl Sessions,Oakley Girlsessions,tour-stop,independent,2004,,unconfirmed,"Ruka BatteryPark, Ruka",Finland,europe,slopestyle | halfpipe | team,"Women-only snowboard event at Ruka in Finnish Lapland, run as a Swatch TTR 3-Star alongside open-ability sessions, a team contest and a freeski slopestyle. The 2010 edition was the seventh, placing the first around 2004. Enni Rukajarvi won the 2009 edition before her international breakthrough.",https://www.worldsnowboardfederation.org/7th-edition-of-oakley-girlsessions-at-ruka-finland-8-11-4-2010/,likely,intl-other
olympic-snowboarding,Snowboarding at the Olympic Winter Games,,major-contest,IOC (sport governed at the Games by FIS),1998,,active,,multiple,global,halfpipe | giant-slalom | parallel-giant-slalom | parallel-slalom | boardercross | slopestyle | big-air | team,"Snowboarding was admitted to the Olympic programme for the 1998 Nagano Winter Games with men's and women's giant slalom and halfpipe. The programme has grown to 11 medal events by 2022 and 2026. RESULTS ARCHIVE for a later pass: Olympedia gives a complete per-Games event index at https://www.olympedia.org/editions/{edition_id}/sports/SBD (verified edition ids: 46=1998, 47=2002, 49=2006, 57=2010, 58=2014, 60=2018, 62=2022, 72=2026, 70=2020 Winter YOG, 73=2024 Winter YOG); each event on that index links to a full finishing-order page.",https://www.olympedia.org/sports/SBD | https://www.olympedia.org/editions/46/sports/SBD | https://www.olympedia.org/editions/72/sports/SBD,verified,olympics-fis
oneill-evolution,O'Neill Evolution,,major-contest,TTR,2006,2013,defunct,Davos,Switzerland,europe,halfpipe | slopestyle | big-air,"Brand-run TTR contest at Davos, launched in 2006 and held every year for eight years to 2013 before O'Neill withdrew from major events. It carried 6Star status and was one of the first top-tier events to run women's and men's fields in both halfpipe and slopestyle (2011). It ran a week-long format in early January, closing with a big air or halfpipe final at the Bolgen slope below the Jakobshorn.",https://www.worldsnowboardguide.com/news/no-o-neill-evolution-in-davos-this-season.html | https://www.boardshop.de/boardmag/snowboard/news/oneill-evolution-2011-in-davos-vom-2-bis-8-januar_aid_16198.html | https://www.boardshop.de/boardmag/snowboard/news/ttr-6star-contest-oneill-evolution-in-davos-live-webcast-04-09-01-2010_aid_16337.html | https://www.worldsnowboardguide.com/events/o-neill-evolution-2013.html | https://whitelines.com/events/oneill-evolution,verified,world-tours
ontario-snowboard-provincial-series,Ontario Snowboard Provincial Series,,grassroots-contest,Ontario Snowboard,,,active,,Canada,north-america,halfpipe | slopestyle | big-air | giant-slalom | parallel-giant-slalom,"Ontario's provincial series across freestyle and alpine disciplines, run by Ontario Snowboard (the Association of Ontario Snowboarders, based in Collingwood). Host clubs and resorts include Alpine Ski Club, Horseshoe Valley Resort, Beaver Valley and Craigleith Ski Club. Ontario Snowboard also delivers the snowboard programme for the 2027 Canada Winter Games.",https://www.ontariosnowboard.ca/,verified,canada
op-pro-snowboarding,OP Pro of Snowboarding,,legacy-contest,brand-run,,,defunct,,USA,north-america,halfpipe | giant-slalom,"Ocean Pacific's snowboard contest, one of the surf-brand events that carried prize money into snowboarding in the late 1980s. The Snowboarder/TransWorld 1980s timeline records an OP Pro of Snowboarding at June Mountain, California in 1989.",https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s,likely,legacy-80s-90s
op-wintersurf,OP Wintersurf,,legacy-contest,brand-run,1991,,defunct,,USA,north-america,other,"Ocean Pacific's combined surf-and-snowboard contest, run as a surf event at Huntington Beach and a snowboard obstacle course at Bear Mountain in the same competition.",https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s,likely,legacy-80s-90s
pacwest-banked-slalom,PacWest Banked Slalom,,grassroots-contest,independent,2022,,active,"Summit East, The Summit at Snoqualmie",USA,north-america,banked-slalom,"Banked slalom created in 2022 by Marcel Dolak at Summit East, the former PacWest ski area at Snoqualmie Pass, Washington - a venue that hosted Northwest snowboard contests and jams through the 1980s to 2000s (the Good and Plenty Jam, Urban Circus Jumpfest) and where Craig Kelly and Jamie Lynn rode. The 2026 edition offered 21 divisions from ages 6 to 60+.",https://www.summitatsnoqualmie.com/events/pacwest-banked-slalom | https://thesnowboardersjournal.com/blogs/exclusives/pacwest-banked-slalom-2022 | https://thesnowboardersjournal.com/blogs/exclusives/pacwest-banked-slalom-2024,verified,us-grassroots
pleasure-jam,Pleasure Jam,Horsefeathers Pleasure Jam | O'Neill Pleasure Jam,major-contest,independent,2003,,unconfirmed,"Superpark Dachstein, Dachstein Glacier",Austria,europe,slopestyle,"European season-opening slopestyle contest on the Dachstein glacier, run by QParks (which has managed the Superpark since 2004) as the first stop of the QParks Snowboard Tour and, in TTR years, a Swatch TTR 4-Star. The 2015 edition was billed as Vol. 13, which places the first edition in 2003.",https://www.worldsnowboardfederation.org/pleasure-jam-vol-13-postponed/ | https://www.worldsnowboardfederation.org/horsefeather-pleasure-jam-09-in-dachstain/ | https://www.worldsnowboardfederation.org/qparks-snowboard-tour-set-for-201617/,likely,intl-other
qparks-snowboard-tour,QParks Snowboard Tour,,tour-series,independent (QParks),2009,,unconfirmed,,multiple,europe,slopestyle | rail-jam | jib,"Amateur freestyle snowboard tour across QParks-built parks in Austria, Germany, Italy and Switzerland, with professional judging and a shared prize pot (EUR 40,000 in 2016/17). The 2016/17 season was described as its seventh, placing the first season around 2009/10. It opens each year with the Pleasure Jam on the Dachstein.",https://www.worldsnowboardfederation.org/qparks-snowboard-tour-set-for-201617/,likely,intl-other
rattlesnake-banked-slalom,Rattlesnake Banked Slalom,,grassroots-contest,independent,2023,,active,Buck Hill,USA,north-america,banked-slalom,"Snowboard-only banked slalom at Buck Hill, Minnesota - the Twin Cities hill where Lindsey Vonn learned to race. Fastest of two runs, six divisions (Junior 15 and under, Open 16-39, Master 40+, each split by gender), each capped at 25 riders. The March 2, 2025 edition was the third annual.",https://buckhill.com/events/rattlesnake-banked-slalom-2025/,likely,us-grassroots
rey-del-park,Rey del Park,Lippi Rey del Park | King of the Park,major-contest,independent,,,unconfirmed,El Colorado,Chile,south-america,slopestyle,"Described by the World Snowboard Federation as the biggest freestyle event in Chile, held in the terrain park at El Colorado above Santiago and open to skiers as well as snowboarders. The 2012 running was the eighth edition, which places the first around 2005, and was the first year it counted towards the WSF South America Tour.",https://www.worldsnowboardfederation.org/viii-rey-del-park-el-colorado-chile/ | https://www.worldsnowboardfederation.org/lippi-king-of-the-park-in-el-colorado-chile/,likely,intl-other
roxy-chicken-jam,Roxy Chicken Jam,Chicken Jam,major-contest,TTR,,,defunct,,multiple,global,halfpipe | slopestyle | big-air,"All-female contest run by Roxy, described as the only women's-only events to hold Swatch TTR 6Star accreditation. It ran a European stop in December and a US stop in late March; the US final was the season-defining event for the TTR women's ranking, with the women's TTR world champion decided there. Wikipedia dates the event to the 2004-05 season.",https://en.wikipedia.org/wiki/Chicken_Jam | https://www.worldsnowboardfederation.org/ttr-women-tour-announced/ | https://coolerlifestyle.com/news/everything-you-wanted-to-know-about-the-ttr-but-were-afraid-to-ask.html,likely,world-tours
shakedown-snowboard-games,Shakedown,Empire Shakedown | Ride Shakedown | The Original Snowboard Games,major-contest,independent,2002,2015,defunct,Mont Saint-Sauveur,Canada,north-america,slopestyle | big-air | rail-jam | jib,"Founded in 2002 by Brendan O'Dowd and Patryck Bernier at Mont Saint-Sauveur in the Laurentians, explicitly to fill the gap left by the end of the WestBeach Classic. Jam format scored 50/50 between big air and street/rail, with riders calling tricks in advance and no repeats. 6,000 spectators and a $10,000 winner-take-all purse in year one, later 25,000 spectators and $50,000 across the top ten; broadcast on TSN, RDS and TVA Sports. Seb Toutant won the pro category here in 2006 at age 13. Empire was title sponsor 2002-2008, Ride Snowboards from 2009, under which the event expanded to the USA (2010) and Europe (2011).",https://en.wikipedia.org/wiki/Shakedown_(Snowboard_Games) | https://kingsnowboard.com/blogs/uncategorized/timepiece-shakedown | https://www.snowboardquebec.com/histoire/,verified,canada
showcase-showdown,Showcase Showdown,,grassroots-contest,independent,1997,,active,Whistler Blackcomb,Canada,north-america,big-air | halfpipe | rail-jam,"Shop contest started by Showcase Snowboards in Whistler Village (opened 1989 as Showcase Tennis, later the largest Burton dealer in North America) and billed as Canada's longest-running snowboard competition. Held on Blackcomb; by the 2010s a big air with a $10,000 pro men's purse plus a berth in the WSSF Monster Energy Shred Show, with a junior rail jam added in 2015.",https://www.whistlerblackcomb.com/explore-the-resort/discover/whistler-blackcomb-60-anniversary.aspx | https://snowboardmag.com/news/whistler-blackcombs-18th-annual-showcase-showdown-returns-march-14 | https://whistlermuseum.org/2023/03/07/selling-snowboards/ | https://www.straight.com/life/402596/showcase-showdown-and-whistler-ski-and-snowboard-fest-go-far-beyond-rock-n-snow,likely,canada
sidesurfers-banked-slalom,Sidesurfers Banked Slalom,,grassroots-contest,independent,,,active,Sugarbush Resort,USA,north-america,banked-slalom,Vermont banked slalom at Sugarbush. The 2026 edition is listed for March 21.,https://localfreshies.com/banked-slalom-event-showcase/,likely,us-grassroots
slash-the-mass-banked-slalom,Slash the Mass Banked Slalom,,grassroots-contest,independent,,,active,Snowmass,USA,north-america,banked-slalom,"Snowboard-only banked slalom at Snowmass, Colorado, run by Aspen Snowmass with age divisions from 12-and-under to 40-plus plus Open/Pro men and women. The edition listed on the resort's site is billed as the 12th annual and was cancelled for snow conditions; the year of that edition is not stated on the page.",https://www.aspensnowmass.com/visit/events/slash-the-mass-banked-slalom,likely,us-grassroots
snoboard-shop-north-american-championships,The Snoboard Shop North American Snowboarding Championships,North American Snowboarding Championships,legacy-contest,independent,1985,1988,defunct,,Canada,north-america,other,"The first Canadian snowboard contest of any scale, run by Ken Achenbach out of The Snoboard Shop in Calgary - the world's first snowboard-only shop. Held on the May long weekend at Sunshine Village in Banff with a $20,000 purse, it was one of the most important early North American contests; a photo of Dave Achenbach from the event ran on the cover of the first issue of TransWorld Snowboarding. Sunshine pulled out mid-season in 1988 and Mt Norquay took the event over, putting Norquay on the TransWorld cover. Disciplines run each year were not sourced.",https://www.snowboardquebec.com/histoire/ | https://kootenaymountainculture.com/meet-the-men-who-brought-snowboarding-to-canada/ | https://banffnorquay.com/blog/lift-lines-humans-of-norquay-a-hill-makes-space-for-snowboarding/ | https://www.snowboarder.com/snowboarders/fathers-of-snowboarding-ken-achenbach,likely,canada
snowboard-jamboree,Snowboard Jamboree,Stoneham Snowboard Jamboree | Quebec City Snowboard Jamboree,major-contest,FIS,2006,,unconfirmed,,Canada,north-america,big-air | slopestyle | halfpipe,"Quebec's flagship freestyle snowboard festival, produced by Gestev and split between Stoneham Mountain Resort and a downtown Quebec City big air site (Ilot Fleurie). It carried FIS Snowboard World Cups and, from 2014, 5-star World Snowboard Tour status; the 2014 edition was billed as the 9th Jamboree and the 15th World Cup held in Quebec. It hosted the 2013 FIS Snowboarding World Championships and moved to an all-urban big air format in 2016. Whether it has run since 2019 was not established.",https://www.skicanada.org/snowboard-world-cup-returns-stoneham-quebec-city/ | https://www.skicanada.org/stoneham-snowboard-jamboree-now-world-cup-event/ | https://snowboardmag.com/news/quebec-city-snowboard-jamboree-festival-back-for-10th-edition | https://www.snowboardquebec.com/2014/snowboard-jamboree/ | https://www.firsttracksonline.com/2015/10/01/quebecs-world-cup-jamboree-goes-urban/,verified,canada
snowboard-masters-japan,SNOWBOARD MASTERS,SBM,grassroots-contest,independent,,,active,,Japan,japan,banked-slalom | slalom | other,"Japanese mass-participation contest normally judged on freeride performance plus an obstacle slalom, open to Japan-resident riders aged 18 and over with reduced entry for JSBA and PSA members. In 2024 it ran instead as SBM BANKED+, a straight banked slalom, because conditions prevented building the usual courses.",https://steep.jp/en/custom/sbmbanked/,likely,intl-other
snowboard-world-cup-pre-fis,Snowboard World Cup (pre-FIS),,tour-series,"NASBA / Snowboard European Association, later ISF",1987,,defunct,,multiple,global,halfpipe | slalom | giant-slalom,"The first international snowboard tour, created when NASBA (formed 8 March 1987) partnered with the Snowboard European Association to merge the rival American and European world championships into one circuit. Multiple accounts say the first season ran two events in the United States and two in Europe, with O'Neill, Suzuki and Swatch as sponsors. Later absorbed into the ISF World Tour.",https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s | https://www.carvers.it/storia-inglese/ | https://snowbrains.com/snowboarding-pioneer-paul-alden-dies-aged-89/ | https://www.tetonvalleynews.net/townnews/sport/a-founding-figure-of-organized-competitive-snowboarding-has-passed/article_db455d7f-ed68-46f1-a971-050e55e36410.amp.html,likely,legacy-80s-90s
speed-nation-alpine-tour,Speed Nation Alpine Tour,Sport Chek Speed Nation Alpine Tour,tour-series,Canada Snowboard,,,active,,Canada,north-america,parallel-giant-slalom | parallel-slalom,"Canada Snowboard's national alpine (racing) tour. Recurring stops have included Le Relais at Lac-Beauport, Toronto Ski Club at Collingwood, Alpine Ski Club and Blue Mountain, with Blue Mountain hosting the alpine national championship in 2018 and 2019.",https://www.canadasnowboard.ca/en/events/ | https://www.canadasnowboard.ca/en/news/?id=1213 | https://www.canadasnowboard.ca/en/news/?id=1259,verified,canada
speed-nation-sbx-tour,Speed Nation Snowboardcross Tour,Sport Chek Speed Nation Snowboardcross Tour,tour-series,Canada Snowboard,,,active,,Canada,north-america,boardercross,"Canada Snowboard's national snowboardcross tour. Recurring stops have included Big White, Panorama, Sun Peaks, Craigleith, Horseshoe Valley, Mont Orignal and Mont Sainte-Anne, with a stop designated as the Canadian snowboardcross championship.",https://www.canadasnowboard.ca/en/events/sbxtour/ | https://www.canadasnowboard.ca/en/news/?id=1213 | https://www.canadasnowboard.ca/en/news/?id=1259,verified,canada
spring-battle,Spring Battle,Absolut Park Spring Battle,major-contest,independent,2002,,active,"Absolut Park, Flachauwinkl",Austria,europe,slopestyle | rail-jam,"Spring park contest at Absolut Park Flachauwinkl, running since 2002 per the organiser's own site. Originally a Swatch TTR event; by 2025 a WSF Elite Level Event feeding the World Snowboard Points List, judged from multi-day single-take follow-cam footage rather than live runs.",https://www.absolutpark.com/en/spring-battle-25/ | https://onboardmag.com/news/snowboarding-events/absolut-park-spring-battle-2007-snowboard.html,likely,intl-other
stylewars-australia,StyleWars,Oakley StyleWars,major-contest,independent,,,unconfirmed,"Falls Creek, Victoria",Australia,oceania,slopestyle | rail-jam,"Australia's biggest Swatch TTR tour event, founded and run by Richard Hegarty at Falls Creek in Victoria. Rated 3-Star in 2007 and 4-Star by 2008-2011; in 2011 the organiser referred to 'the past 10 years running', implying a start around 2001-2002. Sebastien Toutant's 2009 win here made him the youngest rider to top the TTR ranking.",https://www.worldsnowboardfederation.org/events-in-australia/ | https://www.worldsnowboardfederation.org/stylewars-2011-australia/ | https://www.worldsnowboardfederation.org/?s=Stylewars,likely,intl-other
sugarloaf-banked-slalom,Sugarloaf Banked Slalom,,grassroots-contest,independent,,,active,Sugarloaf,USA,north-america,banked-slalom,"Maine banked slalom at Sugarloaf, also referred to as the Mike Baker Banked Slalom. The 2026 edition is listed for March 21.",https://localfreshies.com/banked-slalom-event-showcase/,likely,us-grassroots
suomi-tour,Suomi Tour,,tour-series,Finnish Snowboard Association (FSA),,,unconfirmed,,Finland,europe,slopestyle | halfpipe,"The Finnish Snowboard Association's national contest tour, with Grom, Rookie and Open divisions plus a Burton Riglet park and coaching for first-time competitors. The tour's regional stops culminate in the Finnish national championships (SM) at Ruka.",https://www.worldsnowboardfederation.org/suomi-tour-finland/,likely,intl-other
swiss-snowboard-championships,Swiss Snowboard Championships,,national-championship,Swiss-Ski,1986,,unconfirmed,St. Moritz,Switzerland,europe,slopestyle | halfpipe | boardercross | other,"Switzerland's national snowboard titles in freestyle, boardercross and race, run at the end of the Swiss-Ski Audi Snowboard Series season at rotating venues.",https://www.worldsnowboardfederation.org/audi-snowboard-series/ | https://www.carvers.it/storia-inglese/,likely,intl-other + legacy-80s-90s
tenjin-banked-slalom,Tenjin Banked Slalom,,grassroots-contest,independent,2012,,unconfirmed,Tanigawadake Tenjindaira Ski Resort,Japan,japan,banked-slalom,"Mt Baker-inspired banked slalom on Mt Tanigawa above Minakami, Gunma, reached by tram and organised by former pro rider Yosuke Nishida of the TJ brand. First run in 2012; by 2017 it drew over 400 people across two days and opened with a ceremony praying for safety on an avalanche-prone mountain.",https://www.worldsnowboardfederation.org/wsf-support-banked-slalom-all-around/ | https://www.worldsnowboardfederation.org/2015-tenjin-banked-slalom/ | https://www.worldsnowboardfederation.org/photogallery-and-results-from-2016-tenjin-banked-slalom/ | https://www.worldsnowboardfederation.org/tenjin-banked-slalom-2017/,verified,intl-other
the-arctic-challenge,The Arctic Challenge,Oakley Arctic Challenge,major-contest,independent,1999,2014,dormant,,Norway,europe,halfpipe | quarterpipe | slopestyle | freeride | other,"Founded in 1999 by Norwegian pros Terje Haakonsen and Daniel Franck as a rider-run alternative to contests they saw as shaped by TV coverage and major sponsors. It ran at locations north of the Arctic Circle in its early years before moving to the Oslo area from 2006. It was one of the events the TTR tour was built around and was the only 6Star-rated event owned by a professional rider, with a USD 100,000 purse and 1000 TTR points to the winner. Terje set a quarterpipe air record of 9.8 m above the lip at the 2007 edition, beating Heikki Sorsa's 9.3 m from 2001.",https://en.wikipedia.org/wiki/Arctic_Challenge | https://www.the-house.com/portal/the-history-of-the-oakley-arctic-challenge/ | https://www.the-arctic-challenge.com/ | https://whitelines.com/archive/news/terje-haakonsen-releases-new-statement-on-the-arctic-challenge.html,verified,world-tours
